,Unnamed: 0.1,Unnamed: 0,filename,segments,knn_segs,svm_segs,segs_4sec,new_seg_4sec
0,0,190182,Programs/75/75387/A75387/PM-1501/A75387-024.wav,1,3,9,9,5
1,1,190183,Programs/64/64106/A64106/PM-MM-1305/A64106-24.wav,1,2,3,2,0
2,2,190184,Programs/66/66233/A66233/PM-1905/A66233-006.wav,1,16,17,13,11
3,3,190185,Programs/66/66233/A66233/PM-1905/A66233-009.wav,1,8,8,7,6
4,4,190186,Programs/80/80994/A80994/PM/A80994-05_Potret_05.wav,1,0,1,4,0
5,5,190187,Programs/80/80103/A80103/PM/A80103-10.wav,1,7,11,12,7
6,6,190188,Programs/64/64020/A64020/PM-1302/A64020-35.wav,1,5,7,3,2
7,7,190189,Programs/66/66149/A66149/PM-1811/A66149-16-Rup_15.wav,1,0,3,2,1
8,8,190190,Programs/64/64020/A64020/PM-1302/A64020-39.wav,1,8,9,4,3
9,9,190191,Programs/66/66004/A66004/PM-1903/A66004-006.wav,1,20,5,0,0
10,10,190192,Programs/62/62039/A62039/PM-1506/A62039-002.wav,1,38,38,39,22
11,11,190193,Programs/63/63327/A63327/PM-1011/A63327-16.wav,1,2,7,6,1
12,12,190194,Programs/63/63327/A63327/PM-1011/A63327-14.wav,1,3,6,5,0
13,13,190195,Programs/65/65291/A65291/PM-1608/A65291-04 Pic3 Borana Sakuye LLL5.WAV,1,13,13,12,11
14,14,190196,Programs/64/64051/A64051/PM-1303/A64051-08.wav,1,6,2,0,0
15,15,190197,Programs/80/80641/A80641/From_CM/C80641A Region 00_00_20_085 to 00_00_39_743 (02 _ 03).wav,1,4,4,5,2
16,16,190198,Programs/64/64051/A64051/PM-1303/A64051-01.wav,1,0,0,0,0
17,17,190199,Programs/64/64573/A64573/PM-1408/A64573-033.wav,1,6,4,1,0
18,18,190200,Programs/63/63028/A63028/PM-0903/A63028-01.wav,1,18,15,15,3
19,19,190201,Programs/19/19060/A19060/PM-1809/A19060-027.wav,1,4,5,2,2
20,20,190202,Programs/63/63028/A63028/PM-0903/A63028-02.wav,1,19,17,17,5
21,21,190203,Programs/63/63028/A63028/PM-0903/A63028-03.wav,1,20,19,17,5
22,22,190204,Programs/64/64573/A64573/PM-1408/A64573-008.wav,1,11,10,3,0
23,23,190205,Programs/66/66004/A66004/PM-1903/A66004-001.wav,1,11,0,0,0
24,24,190206,Programs/63/63028/A63028/PM-0903/A63028-12.wav,1,27,27,20,5
25,25,190207,Programs/28/28920/A28920/MM/A28920-11.wav,1,5,3,1,1
26,26,190208,Programs/64/64324/A64324/PM-1311/A64324-06.wav,1,15,15,9,5
27,27,190209,Programs/62/62039/A62039/PM-1506/A62039-009.wav,1,0,0,0,0
28,28,190210,Programs/12/12030/A12030/From_CM/C12030A Region 00_00_00_000 to 00_01_31_178 (01 _ 02).wav,1,4,5,4,2
29,29,190211,Programs/64/64275/A64275/PM-1003/A64275-041.wav,1,6,9,9,8
30,30,190212,Programs/12/12030/A12030/From_CM/C12030A Region 00_04_40_832 to 00_06_14_943 (03 _ 04).wav,1,3,1,0,0
31,31,190213,Programs/64/64275/A64275/PM-1003/A64275-032.wav,1,9,9,9,6
32,32,190214,Programs/32/32970/A32970/MM/A32970-19.wav,1,8,9,9,3
33,33,190215,Programs/01/01911/A01911/From_CM/C01911B-03.wav,1,3,9,2,0
34,34,190216,Programs/64/64126/A64126/PM-0912/A64126-07.wav,1,8,9,0,0
35,35,190217,Programs/19/19060/A19060/PM-1809/A19060-037.wav,1,7,8,5,1
36,36,190218,Programs/64/64275/A64275/PM-1003/A64275-031.wav,1,3,4,5,5
37,37,190219,Programs/64/64270/A64270/PM-1311-24bit/A64270-010.wav,1,7,7,3,0
38,38,190220,Programs/80/80639/A80639/PM-1308/A80639-002.wav,1,3,4,3,2
39,39,190221,Programs/63/63782/A63782/PM-1109/A63782-02.wav,1,5,5,5,5
40,40,190222,Programs/19/19060/A19060/PM-1809/A19060-008.wav,1,4,5,4,1
41,41,190223,Programs/65/65292/A65292/PM-1608/A65292-24 Pic 23 Borana Sakuye LLL6.WAV,1,7,7,7,6
42,42,190224,Programs/64/64270/A64270/PM-1311-24bit/A64270-017.wav,1,6,6,3,2
43,43,190225,Programs/64/64126/A64126/PM-0912/A64126-14.wav,1,37,19,9,0
44,44,190226,Programs/65/65291/A65291/PM-1608/A65291-07 Pic6 Borana Sakuye LLL5.WAV,1,16,17,16,15
45,45,190227,Programs/64/64275/A64275/PM-1003/A64275-026.wav,1,5,5,5,3
46,46,190228,Programs/19/19060/A19060/PM-1809/A19060-032.wav,1,10,10,6,4
47,47,190229,Programs/65/65291/A65291/PM-1608/A65291-05 Pic4 Borana Sakuye LLL5.WAV,1,13,13,13,12
48,48,190230,Programs/64/64324/A64324/PM-1311/A64324-05.wav,1,15,14,14,3
49,49,190231,Programs/38/38221/A38221/PM/A38221-12.wav,1,3,3,5,1
50,50,190232,Programs/80/80641/A80641/From_CM/C80641B Region 00_00_15_829 to 00_00_33_941 (02 _ 03).wav,1,4,4,3,0
51,51,190233,Programs/64/64324/A64324/PM-1311/A64324-03.wav,1,16,16,10,5
52,52,190234,Programs/74/74683/A74683/PM-Copy_from_cas_pm/A74683-43.wav,1,0,0,0,0
53,53,190235,Programs/62/62596/A62596/PM-0808/A62596-15.wav,1,7,8,5,1
54,54,190236,Programs/63/63027/A63027/PM-0903/A63027-32.wav,1,12,10,9,4
55,55,190237,Programs/62/62596/A62596/PM-0808/A62596-14.wav,1,6,8,5,2
56,56,190238,Programs/15/15581/A15581/MM/A15581-08.wav,1,1,0,1,0
57,57,190239,Programs/65/65287/A65287/PM-1608/A65287-012.wav,1,4,4,4,4
58,58,190240,Programs/15/15581/A15581/MM/A15581-05.wav,1,1,3,3,2
59,59,190241,Programs/62/62596/A62596/PM-0808/A62596-02.wav,1,4,5,2,0
60,60,190242,Programs/63/63382/A63382/PM-1211/A63382-027.wav,1,0,0,0,0
61,61,190243,Programs/65/65287/A65287/PM-1608/A65287-022.wav,1,5,5,5,3
62,62,190244,Programs/80/80640/A80640/From_CM/C80640A Region 00_00_00_000 to 00_00_26_367 (01 _ 02).wav,1,1,1,0,0
63,63,190245,Programs/15/15581/A15581/MM/A15581-01.wav,1,0,4,1,0
64,64,190246,Programs/64/64573/A64573/PM-1408/A64573-024.wav,1,11,10,0,0
65,65,190247,Programs/80/80683/A80683/PM/A80683-13.wav,1,0,1,0,0
66,66,190248,Programs/74/74683/A74683/PM-Copy_from_cas_pm/A74683-27.wav,1,4,0,2,0
67,67,190249,Programs/64/64324/A64324/PM-1311/A64324-23.wav,1,11,10,6,3
68,68,190250,Programs/27/27191/A27191/PM-0905/A27191-18.wav,1,26,12,4,3
69,69,190251,Programs/63/63027/A63027/PM-0903/A63027-28.wav,1,11,12,8,4
70,70,190252,Programs/63/63781/A63781/PM-1109/A63781-01.wav,1,8,8,8,5
71,71,190253,Programs/63/63027/A63027/PM-0903/A63027-26.wav,1,10,10,10,4
72,72,190254,Programs/64/64324/A64324/PM-1311/A64324-29.wav,1,10,10,9,3
73,73,190255,Programs/64/64324/A64324/PM-1311/A64324-33.wav,1,18,18,11,2
74,74,190256,Programs/63/63027/A63027/PM-0903/A63027-37.wav,1,9,7,7,2
75,75,190257,Programs/35/35810/A35810/PM-0909/A35810-10.wav,1,5,9,9,3
76,76,190258,Programs/63/63027/A63027/PM-0903/A63027-03.wav,1,7,8,7,2
77,77,190259,Programs/64/64324/A64324/PM-1311/A64324-28.wav,1,11,11,11,7
78,78,190260,Programs/63/63027/A63027/PM-0903/A63027-09.wav,1,10,11,9,5
79,79,190261,Programs/18/18451/A18451/PM-1904/A18451-003.wav,1,3,4,5,4
80,80,190262,Programs/65/65287/A65287/PM-1608/A65287-008.wav,1,5,5,5,5
81,81,190263,Programs/38/38221/A38221/PM/A38221-11.wav,1,2,3,1,0
82,82,190264,Programs/65/65287/A65287/PM-1608/A65287-009.wav,1,4,4,5,2
83,83,190265,Programs/63/63027/A63027/PM-0903/A63027-14.wav,1,12,12,12,4
84,84,190266,Programs/65/65287/A65287/PM-1608/A65287-010.wav,1,3,4,3,3
85,85,190267,Programs/63/63027/A63027/PM-0903/A63027-16.wav,1,10,9,7,3
86,86,190268,Programs/64/64324/A64324/PM-1311/A64324-31.wav,1,13,13,11,2
87,87,190269,Programs/64/64573/A64573/PM-1408/A64573-018.wav,1,7,7,1,1
88,88,190270,Programs/63/63027/A63027/PM-0903/A63027-24.wav,1,14,11,12,3
89,89,190271,Programs/64/64270/A64270/PM-1311-24bit/A64270-004.wav,1,10,10,5,2
90,90,190272,Programs/64/64270/A64270/PM-1311-24bit/A64270-037.wav,1,11,14,14,2
91,91,190273,Programs/66/66149/A66149/PM-1811/A66149-19-Rup_18.wav,1,0,3,0,0
92,92,190274,Programs/65/65289/A65289/PM-1608/A65289-008.wav,1,14,14,12,7
93,93,190275,Programs/19/19481/A19481/PM-1308/A19481-007.wav,1,5,8,0,0
94,94,190276,Programs/65/65292/A65292/PM-1608/A65292-16 Pic 15 Borana Sakuye LLL6.WAV,1,7,7,6,6
95,95,190277,Programs/65/65292/A65292/PM-1608/A65292-18 Pic 17 Borana Sakuye LLL6.WAV,1,9,9,9,8
96,96,190278,Programs/65/65292/A65292/PM-1608/A65292-19 Pic 18 Borana Sakuye LLL6.WAV,1,7,7,7,6
97,97,190279,Programs/65/65292/A65292/PM-1608/A65292-20 Pic 19 Borana Sakuye LLL6.WAV,1,6,6,5,4
98,98,190280,Programs/65/65929/A65929/PM-1909/A65929-005.wav,1,20,20,17,6
99,99,190281,Programs/65/65929/A65929/PM-1909/A65929-006.wav,1,11,11,9,4
100,100,190282,Programs/80/80413/A80413/PM-1808/A80413-018.wav,1,13,15,14,11
101,101,190283,Programs/19/19481/A19481/PM-1308/A19481-002.wav,1,4,5,1,0
102,102,190284,Programs/37/37721/A37721/PM-1307/A37721-14.wav,1,3,4,3,2
103,103,190285,Programs/37/37721/A37721/PM-1307/A37721-12.wav,1,10,12,12,0
104,104,190286,Programs/80/80413/A80413/PM-1808/A80413-014.wav,1,12,15,16,12
105,105,190287,Programs/80/80413/A80413/PM-1808/A80413-007.wav,1,13,15,8,4
106,106,190288,Programs/65/65930/A65930/PM-1908/A65930-003.wav,1,12,12,3,0
107,107,190289,Programs/65/65930/A65930/PM-1908/A65930-002.wav,1,13,13,10,5
108,108,190290,Programs/64/64591/A64591/PM-1511/A64591-38.wav,1,1,3,2,2
109,109,190291,Programs/65/65289/A65289/PM-1608/A65289-017.wav,1,14,14,12,8
110,110,190292,Programs/37/37965/A37965/PM/A37965-16.wav,1,1,5,3,1
111,111,190293,Programs/63/63757/A63757/PM-1207/A63757-12.wav,1,10,14,5,2
112,112,190294,Programs/80/80977/A80977/PM/A80977-20.wav,1,6,4,3,0
113,113,190295,Programs/78/78490/A78490/PM-1909/A78490-002.wav,1,5,5,4,4
114,114,190296,Programs/64/64789/A64789/PM-1602/A64789-003.wav,1,9,7,5,1
115,115,190297,Programs/63/63757/A63757/PM-1207/A63757-07.wav,1,4,11,9,3
116,116,190298,Programs/63/63757/A63757/PM-1207/A63757-06.wav,1,8,9,2,0
117,117,190299,Programs/37/37965/A37965/PM/A37965-38.wav,1,3,6,4,0
118,118,190300,Programs/80/80413/A80413/PM-1808/A80413-024.wav,1,16,31,10,4
119,119,190301,Programs/37/37965/A37965/PM/A37965-28.wav,1,5,7,5,2
120,120,190302,Programs/37/37965/A37965/PM/A37965-29.wav,1,3,5,1,1
121,121,190303,Programs/37/37965/A37965/PM/A37965-30.wav,1,6,10,5,4
122,122,190304,Programs/65/65289/A65289/PM-1608/A65289-003.wav,1,9,9,10,8
123,123,190305,Programs/65/65289/A65289/PM-1608/A65289-007.wav,1,11,11,12,9
124,124,190306,Programs/64/64788/A64788/PM-1602/A64788-009.wav,1,3,5,6,2
125,125,190307,Programs/37/37965/A37965/PM/A37965-35.wav,1,1,4,0,0
126,126,190308,Programs/80/80413/A80413/PM-1808/A80413-023.wav,1,13,18,11,4
127,127,190309,Programs/64/64788/A64788/PM-1602/A64788-018.wav,1,6,8,8,2
128,128,190310,Programs/63/63757/A63757/PM-1207/A63757-03.wav,1,5,5,2,0
129,129,190311,Programs/63/63757/A63757/PM-1207/A63757-02.wav,1,5,7,7,2
130,130,190312,Programs/78/78490/A78490/PM-1909/A78490-004.wav,1,9,9,9,8
131,131,190313,Programs/80/80945/A80945/PM-Copy-0908/A80945-14.wav,1,0,1,1,0
132,132,190314,Programs/65/65930/A65930/PM-1908/A65930-008.wav,1,15,17,15,4
133,133,190315,Programs/33/33280/A33280/PM-1109/A33280-002.wav,1,9,9,7,2
134,134,190316,Programs/65/65929/A65929/PM-1909/A65929-017.wav,1,16,17,18,9
135,135,190317,Programs/32/32970/A32970/MM/A32970-08.wav,1,6,6,6,5
136,136,190318,Programs/29/29790/A29790/From_CM/C29790B Region 00_00_00_000 to 00_00_28_629 (01 _ 02).wav,1,1,0,0,0
137,137,190319,Programs/32/32970/A32970/MM/A32970-09.wav,1,7,7,5,4
138,138,190320,Programs/29/29790/A29790/From_CM/C29790A Region 00_25_07_306 to 00_25_55_072 (06 _ 07).wav,1,0,0,0,0
139,139,190321,Programs/63/63781/A63781/PM-1109/A63781-31.wav,1,13,13,13,11
140,140,190322,Programs/32/32970/A32970/MM/A32970-11.wav,1,9,7,9,4
141,141,190323,Programs/65/65292/A65292/PM-1608/A65292-21 Pic 20 Borana Sakuye LLL6.WAV,1,6,6,6,6
142,142,190324,Programs/64/64270/A64270/PM-1311-24bit/A64270-025.wav,1,6,7,8,4
143,143,190325,Programs/64/64270/A64270/PM-1311-24bit/A64270-022.wav,1,8,11,11,1
144,144,190326,Programs/64/64270/A64270/PM-1311-24bit/A64270-027.wav,1,4,6,5,1
145,145,190327,Programs/32/32970/A32970/MM/A32970-14.wav,1,5,5,5,5
146,146,190328,Programs/64/64270/A64270/PM-1311-24bit/A64270-030.wav,1,7,8,9,1
147,147,190329,Programs/30/30510/A30510/PM-2008/A30510-015.wav,1,9,9,9,4
148,148,190330,Programs/64/64270/A64270/PM-1311-24bit/A64270-029.wav,1,7,8,7,1
149,149,190331,Programs/64/64270/A64270/PM-1311-24bit/A64270-032.wav,1,6,8,5,1
150,150,190332,Programs/64/64270/A64270/PM-1311-24bit/A64270-033.wav,1,8,8,7,1
151,151,190333,Programs/64/64270/A64270/PM-1311-24bit/A64270-035.wav,1,9,9,6,1
152,152,190334,Programs/63/63327/A63327/PM-1011/A63327-19.wav,1,3,9,3,0
153,153,190335,Programs/63/63781/A63781/PM-1109/A63781-21.wav,1,16,15,12,12
154,154,190336,Programs/80/80977/A80977/PM/A80977-19.wav,1,9,3,2,0
155,155,190337,Programs/38/38203/A38203/PM-1207/A38203-04.wav,1,0,0,0,0
156,156,190338,Programs/32/32970/A32970/MM/A32970-31.wav,1,12,13,14,9
157,157,190339,Programs/32/32970/A32970/MM/A32970-37.wav,1,6,6,6,5
158,158,190340,Programs/64/64591/A64591/PM-1511/A64591-16.wav,1,1,4,4,3
159,159,190341,Programs/32/32970/A32970/MM/A32970-38.wav,1,7,10,9,8
160,160,190342,Programs/64/64591/A64591/PM-1511/A64591-02.wav,1,0,2,3,2
161,161,190343,Programs/65/65289/A65289/PM-1608/A65289-011.wav,1,13,13,13,8
162,162,190344,Programs/37/37140/A37140/From_CM/C37140A Region 00_00_00_000 to 00_02_04_306 (01 _ 02.wav,1,4,6,6,1
163,163,190345,Programs/38/38203/A38203/PM-1207/A38203-03.wav,1,8,8,8,5
164,164,190346,Programs/65/65291/A65291/PM-1608/A65291-12 Pic11 Borana Sakuye LLL5.WAV,1,15,16,15,11
165,165,190347,Programs/80/80388/A80388/PM-1704/A80388-023.wav,1,13,18,15,11
166,166,190348,Programs/63/63781/A63781/PM-1109/A63781-09.wav,1,12,11,10,7
167,167,190349,Programs/63/63781/A63781/PM-1109/A63781-08.wav,1,11,11,10,9
168,168,190350,Programs/78/78488/A78488/From_CM/C78488 Region 00_00_00_000 to 00_00_23_722 (01 _ 02).wav,1,5,5,5,4
169,169,190351,Programs/65/65287/A65287/PM-1608/A65287-004.wav,1,6,6,6,5
170,170,190352,Programs/32/32970/A32970/MM/A32970-01.wav,1,2,3,2,2
171,171,190353,Programs/32/32970/A32970/MM/A32970-23.wav,1,6,6,5,3
172,172,190354,Programs/27/27191/A27191/PM-0905/A27191-25.wav,1,4,5,2,0
173,173,190355,Programs/64/64573/A64573/PM-1408/A64573-032.wav,1,9,10,3,0
174,174,190356,Programs/64/64322/A64322/PM-1407/A64322-003.wav,1,6,6,7,6
175,175,190357,Programs/63/63844/A63844/PM-1206/A63844-33.wav,1,16,16,17,13
176,176,190358,Programs/74/74380/A74380/PM-1511/A74380-014.wav,1,0,0,0,0
177,177,190359,Programs/74/74380/A74380/PM-1511/A74380-006.wav,1,0,0,0,0
178,178,190360,Programs/65/65293/A65293/PM-1608/A65293-02 Pic 1 Borana Sakuye LLL7.WAV,1,6,6,5,3
179,179,190361,Programs/63/63844/A63844/PM-1206/A63844-01.wav,1,3,3,3,3
180,180,190362,Programs/63/63844/A63844/PM-1206/A63844-20.wav,1,11,11,10,9
181,181,190363,Programs/74/74380/A74380/PM-1511/A74380-029.wav,1,0,0,0,0
182,182,190364,Programs/80/80635/A80635/From_CM/C80635B Region 00_00_18_261 to 00_00_35_989 (02 _ 03).wav,1,3,3,3,2
183,183,190365,Programs/79/79197/A79197/PM-1909/A79197-013.wav,1,11,11,11,6
184,184,190366,vox_grn/Audio_MP3/66/66150/Hre Anoi 'Noh Bau Lem 004 Hunh 3 66150.mp3,1,4,5,6,4
185,185,190367,Programs/64/64405/A64405/PM-1406/A64405-24_Pic24_Ateso_LLL2.wav,1,28,28,28,24
186,186,190368,Programs/63/63844/A63844/PM-1206/A63844-17.wav,1,5,5,6,3
187,187,190369,Programs/79/79197/A79197/PM-1909/A79197-014.wav,1,12,12,14,8
188,188,190370,Programs/63/63768/A63768/PM-1202/A63768-12.wav,1,3,17,15,5
189,189,190371,Programs/63/63844/A63844/PM-1206/A63844-10.wav,1,16,17,15,12
190,190,190372,Programs/63/63844/A63844/PM-1206/A63844-09.wav,1,9,9,8,4
191,191,190373,Programs/63/63844/A63844/PM-1206/A63844-13.wav,1,7,8,10,5
192,192,190374,Programs/63/63844/A63844/PM-1206/A63844-16.wav,1,10,8,11,8
193,193,190375,Programs/63/63844/A63844/PM-1206/A63844-37.wav,1,9,9,10,4
194,194,190376,Programs/63/63844/A63844/PM-1206/A63844-32.wav,1,8,8,8,5
195,195,190377,Programs/65/65344/A65344/PM-1608/A65344-009.wav,1,16,19,16,14
196,196,190378,Programs/34/34111/A34111/PM-1904/A34111-006.wav,1,5,6,6,2
197,197,190379,Programs/65/65294/A65294/PM-1608/A65294-04 Pic 3 Borana Sakuye LLL8.WAV,1,8,8,7,7
198,198,190380,vox_grn/Audio_MP3/66/66150/Hre Anoi 'Noh Bau Lem 022 Hunh 21 66150.mp3,1,9,9,10,5
199,199,190381,Programs/63/63844/A63844/PM-1206/A63844-40.wav,1,8,8,7,6
200,200,190382,Programs/65/65294/A65294/PM-1608/A65294-03 Pic 2 Borana Sakuye LLL8.WAV,1,7,7,6,6
201,201,190383,Programs/65/65294/A65294/PM-1608/A65294-01 Intro Borana Sakuye LLL8.WAV,1,7,7,6,6
202,202,190384,Programs/63/63769/A63769/PM-1207/A63769-28.wav,1,0,1,1,1
203,203,190385,Programs/65/65293/A65293/PM-1608/A65293-24 Pic 23 Borana Sakuye LLL7.WAV,1,5,5,5,3
204,204,190386,Programs/63/63769/A63769/PM-1207/A63769-29.wav,1,0,0,0,0
205,205,190387,Programs/63/63769/A63769/PM-1207/A63769-30.wav,1,0,0,0,0
206,206,190388,Programs/65/65293/A65293/PM-1608/A65293-23 Pic 22 Borana Sakuye LLL7.WAV,1,7,6,6,3
207,207,190389,Programs/63/63769/A63769/PM-1207/A63769-26.wav,1,0,2,2,1
208,208,190390,Programs/63/63769/A63769/PM-1207/A63769-36.wav,1,0,2,0,0
209,209,190391,Programs/63/63844/A63844/PM-1206/A63844-27.wav,1,7,8,8,6
210,210,190392,Programs/63/63769/A63769/PM-1207/A63769-37.wav,1,0,0,0,0
211,211,190393,Programs/63/63844/A63844/PM-1206/A63844-28.wav,1,6,5,6,3
212,212,190394,Programs/63/63844/A63844/PM-1206/A63844-29.wav,1,9,9,9,7
213,213,190395,Programs/63/63769/A63769/PM-1207/A63769-24.wav,1,0,0,1,0
214,214,190396,Programs/64/64683/A64683/PM-1409/A64683-12.wav,1,9,9,9,7
215,215,190397,Programs/79/79197/A79197/PM-1909/A79197-016.wav,1,10,10,11,6
216,216,190398,Programs/65/65294/A65294/PM-1608/A65294-15 Pic 14 Borana Sakuye LLL8.WAV,1,7,7,7,7
217,217,190399,Programs/38/38026/A38026/PM-1303/A38026-002.wav,1,11,11,9,1
218,218,190400,Programs/66/66149/A66149/PM-1811/A66149-40-Rup_39.wav,1,0,4,2,0
219,219,190401,Programs/64/64020/A64020/PM-1302/A64020-34.wav,1,7,8,5,3
220,220,190402,Programs/66/66149/A66149/PM-1811/A66149-41-Rup_40.wav,1,0,4,1,0
221,221,190403,Programs/64/64020/A64020/PM-1302/A64020-25.wav,1,9,8,5,2
222,222,190404,Programs/64/64020/A64020/PM-1302/A64020-16.wav,1,10,10,5,3
223,223,190405,Programs/64/64020/A64020/PM-1302/A64020-18.wav,1,12,11,7,4
224,224,190406,Programs/66/66149/A66149/PM-1811/A66149-03-Rup_2.wav,1,0,2,1,1
225,225,190407,Programs/64/64020/A64020/PM-1302/A64020-20.wav,1,7,8,3,2
226,226,190408,Programs/65/65293/A65293/PM-1608/A65293-12 Pic 11 Borana Sakuye LLL7.WAV,1,5,5,6,5
227,227,190409,Programs/66/66149/A66149/PM-1811/A66149-38-Rup_37.wav,1,1,4,5,3
228,228,190410,Programs/65/65293/A65293/PM-1608/A65293-11 Pic 10 Borana Sakuye LLL7.WAV,1,6,6,6,5
229,229,190411,Programs/66/66149/A66149/PM-1811/A66149-39-Rup_38.wav,1,0,2,2,0
230,230,190412,Programs/64/64020/A64020/PM-1302/A64020-21.wav,1,9,9,5,1
231,231,190413,Programs/66/66149/A66149/PM-1811/A66149-08-Rup_7.wav,1,0,3,1,0
232,232,190414,Programs/80/80634/A80634/From_CM/C80634B Region 00_00_00_000 to 00_00_34_389 (01 _ 02).wav,1,1,5,3,1
233,233,190415,Programs/66/66149/A66149/PM-1811/A66149-18-Rup_17.wav,1,1,5,2,1
234,234,190416,Programs/64/64020/A64020/PM-1302/A64020-13.wav,1,8,8,7,4
235,235,190417,Programs/66/66149/A66149/PM-1811/A66149-10-Rup_9.wav,1,1,4,0,0
236,236,190418,Programs/79/79190/A79190/PM-1908/A79190-004.wav,1,12,12,14,8
237,237,190419,Programs/65/65293/A65293/PM-1608/A65293-16 Pic 15 Borana Sakuye LLL7.WAV,1,4,4,4,4
238,238,190420,Programs/65/65293/A65293/PM-1608/A65293-19 Pic 18 Borana Sakuye LLL7.WAV,1,5,5,4,4
239,239,190421,Programs/65/65293/A65293/PM-1608/A65293-21 Pic 20 Borana Sakuye LLL7.WAV,1,6,7,5,5
240,240,190422,vox_grn/Audio_MP3/66/66150/Hre Anoi 'Noh Bau Lem 010 Hunh 9 66150.mp3,1,6,8,6,3
241,241,190423,Programs/80/80636/A80636/From_CM/C80636A Region 00_00_00_000 to 00_00_15_381 (01 _ 02).wav,1,0,1,1,0
242,242,190424,Programs/79/79197/A79197/PM-1909/A79197-009.wav,1,10,10,9,7
243,243,190425,Programs/79/79197/A79197/PM-1909/A79197-005.wav,1,12,12,12,7
244,244,190426,vox_grn/Audio_MP3/66/66150/Hre Anoi 'Noh Bau Lem 038 Hunh 37 66150.mp3,1,5,5,6,4
245,245,190427,Programs/66/66150/A66150/PM-1711/A66150-01-Introduction.wav,1,2,2,2,2
246,246,190428,Programs/65/65511/A65511/PM-1706/A65511-020.wav,1,2,3,5,0
247,247,190429,Programs/79/79190/A79190/PM-1908/A79190-001.wav,1,2,2,2,0
248,248,190430,Programs/79/79197/A79197/PM-1909/A79197-001.wav,1,8,10,9,4
249,249,190431,Programs/62/62041/A62041/PM/62041-11.wav,1,30,12,6,0
250,250,190432,Programs/65/65293/A65293/PM-1608/A65293-03 Pic 2 Borana Sakuye LLL7.WAV,1,7,7,6,6
